,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,Total Expenditures,ICA1,ICA2,ICA3,ICA4,ICA5,ICA6,0.575178417,0.776908552,0.74067988,0.388435912,0.633881832,0.496848605,<- originals
85,16117,46197,92780,1026,40827,2944,199891,3557.821493,5771.827591,-78933.80675,2652.198196,11785.57349,621.0613818,0.483783494,-0.367129703,-0.67573119,-0.195871366,-0.003213588,0.369026762,<- new
47,44466,54259,55571,7782,24171,6465,192714,12194.15406,-52763.65061,-31693.73496,1725.20672,12033.49458,4243.05031,,,,,,,
181,112151,29627,18148,16745,4948,8550,190169,38745.14905,-27772.02769,887.5797874,291.9703715,10347.63875,5717.922442,,,,,,,
183,36847,43950,20170,36534,239,47943,185683,1068.512284,10318.77927,15888.12254,-5126.864371,3868.321657,48540.98821,,,,,,,
61,35942,38369,59598,3254,26701,2017,165881,11212.603,-14561.18409,-42958.4203,3012.91238,8181.957315,-38.3733854,,,,,,,
86,22925,73498,32114,987,20070,903,150497,3649.098575,-144174.7716,4762.714159,6055.009603,559.3879028,-542.9001157,,,,,,,
325,32717,16784,13626,60869,1272,5609,130877,5141.932534,4770.242145,132.1746958,-58539.90994,9657.622728,3249.191545,,,,,,,
333,8565,4980,67298,131,38102,1215,120291,5376.350377,73904.22617,-62242.42416,3218.465896,-36448.35504,329.077317,,,,,,,
23,26373,36423,22019,5154,4337,16523,110829,3676.377536,-23829.50579,5218.338101,10473.69333,22176.45512,16312.82765,,,,,,,
211,12119,28326,39694,4736,19410,2870,107155,2166.143935,-10116.44902,-21286.53152,765.5885598,-678.232958,1988.730619,,,,,,,
125,76237,3473,7102,16538,778,918,105046,27365.73314,16310.42749,3851.234856,-6995.934024,7078.596397,-1008.24493,,,,,,,
284,68951,4411,12609,8692,751,2406,97820,24415.65301,24296.11857,-1495.272244,1738.189026,18584.66446,781.6643991,,,,,,,
92,9198,27472,32034,3232,18906,5130,95972,1323.111897,-15639.25665,-10954.15954,4145.251739,-14582.4046,4785.096376,,,,,,,
251,6134,23133,33586,6746,18594,5121,93314,79.94753041,-1206.179428,-14785.98061,-315.6503203,-12526.89913,4729.348923,,,,,,,
65,85,20959,45828,36,24231,1423,92562,-900.4357477,12023.88987,-30635.29531,3842.524341,-10008.22224,884.4790433,,,,,,,
103,56082,3504,8906,18028,1480,2498,90498,19124.4309,21890.76827,2849.915725,-9603.525039,6583.160541,1052.16167,,,,,,,
56,4098,29892,26866,2616,17740,1340,82552,-391.2116668,-34820.24836,-4453.361667,2474.758537,-14526.2151,985.8895225,,,,,,,
145,22039,8384,34792,42,12591,4430,82278,6871.77267,42004.55435,-23208.00258,7621.64426,12023.84567,3801.127654,,,,,,,
87,43265,5025,8117,6312,1579,14351,78649,13533.18568,35038.4702,9396.494369,9821.546817,-2033.591647,14386.75925,,,,,,,
437,14531,15488,30243,437,14841,1867,77407,4270.575267,10717.94999,-14787.01846,5547.190463,-1195.850285,1357.647811,,,,,,,
435,29703,12051,16027,13135,182,2204,73302,7558.255332,11830.81749,-1895.560631,-7066.83972,31152.14049,1088.397164,,,,,,,
258,56083,4563,2124,6422,730,3321,73243,20004.43819,9546.472712,13009.79858,4560.372134,-504.2658252,2492.714917,,,,,,,
49,4967,21412,28921,1798,13583,1163,71844,-233.1281389,-6275.600407,-11000.55144,2853.969323,4703.20596,713.9175111,,,,,,,
39,56159,555,902,10002,212,2916,70746,20148.4288,18268.40534,12576.03271,272.5550859,-2408.936351,2027.765203,,,,,,,
259,53205,4959,7336,3012,967,818,70297,19039.7708,12101.90267,6174.61394,6265.708885,11435.78375,-195.2215113,,,,,,,
427,31012,16687,5429,15082,439,1163,69812,8375.608515,-18345.95796,12975.33327,-8874.547804,12366.3445,209.2873279,,,,,,,
216,2532,16599,36486,179,13308,674,69778,-1158.763554,17330.05734,-22472.65027,3499.147878,19187.55443,82.45177361,,,,,,,
176,45640,6958,6536,7368,1532,230,68264,15796.90881,4942.255543,7838.127099,428.6337239,8080.639373,-765.3524559,,,,,,,
319,9759,25071,17645,1128,12408,1625,67636,1818.659392,-31670.00607,4635.666109,5188.911256,-10349.88133,1435.916912,,,,,,,
77,12205,12697,28540,869,12034,1009,67354,3172.661389,16604.4269,-14313.72422,4268.872616,7646.44451,492.4044721,,,,,,,
282,49063,3965,4252,5970,1041,1404,65695,17428.03258,11275.41971,9878.093303,3135.344581,4015.325299,559.4153362,,,,,,,
28,4113,20484,25957,1158,8604,5206,65522,-1713.617601,2421.906599,-7125.891573,5892.861811,17166.98945,5042.175354,,,,,,,
196,30624,7209,4897,18711,763,2876,65080,8712.475246,8391.64323,10383.13768,-12060.74992,4253.381621,2089.360336,,,,,,,
331,11223,14881,26839,1234,9606,1102,64885,2165.181552,10646.88437,-11687.54795,3853.18971,15728.0132,561.9162509,,,,,,,
163,5531,15726,26870,2367,13726,446,64666,673.8217817,4155.332767,-10752.43237,1912.41465,-1293.091854,67.88999089,,,,,,,
71,18291,1266,21042,5373,4173,14472,64617,3712.029134,63587.98256,-7006.387461,7836.986307,10647.41186,14784.02862,,,,,,,
201,4484,14399,24708,3549,14235,1681,63056,404.7379478,5979.297829,-8078.999813,1408.265271,-9328.361825,1484.879921,,,,,,,
12,31714,12319,11757,287,3881,2931,62889,10161.23561,1150.389685,5491.389997,8665.723906,9331.134135,2473.721556,,,,,,,
45,5181,22044,21531,1740,7353,4985,62834,-1420.526152,-7705.450596,-1228.977614,5493.320274,14950.11181,4862.697182,,,,,,,
